Date,SIS
2019-11-26,451.5177307128906
2019-11-27,457.47418212890625
2019-11-28,453.49505615234375
2019-11-29,439.5072021484375
2019-12-02,435.991943359375
2019-12-03,448.7104187011719
2019-12-04,445.976318359375
2019-12-05,451.5909729003906
2019-12-06,448.36865234375
2019-12-09,441.093994140625
2019-12-10,440.7033996582031
2019-12-11,442.4610290527344
2019-12-12,449.7601318359375
2019-12-13,451.5665588378906
2019-12-16,439.8977966308594
2019-12-17,448.85687255859375
2019-12-18,447.1236267089844
2019-12-19,449.12542724609375
2019-12-20,449.3450927734375
2019-12-23,458.40185546875
2019-12-24,458.18212890625
2019-12-26,461.3800354003906
2019-12-27,470.90057373046875
2019-12-30,476.2711486816406
2019-12-31,474.70880126953125
2020-01-01,472.38970947265625
2020-01-02,475.7096862792969
2020-01-03,470.510009765625
2020-01-06,462.2100524902344
2020-01-07,467.14117431640625
2020-01-08,459.4027099609375
2020-01-09,474.8552551269531
2020-01-10,478.54144287109375
2020-01-13,494.946044921875
2020-01-14,495.092529296875
2020-01-15,496.67926025390625
2020-01-16,504.1004333496094
2020-01-17,502.34283447265625
2020-01-20,493.1152038574219
2020-01-21,492.04107666015625
2020-01-22,489.7463684082031
2020-01-23,494.7263488769531
2020-01-24,507.7621765136719
2020-01-27,507.81097412109375
2020-01-28,508.2503967285156
2020-01-29,524.557373046875
2020-01-30,525.6802978515625
2020-01-31,486.7193298339844
2020-02-03,502.0498962402344
2020-02-04,495.409912109375
2020-02-05,505.6139221191406
2020-02-06,520.3585815429688
2020-02-07,545.6490478515625
2020-02-10,536.4702758789062
2020-02-11,537.8373413085938
2020-02-12,558.0501708984375
2020-02-13,558.880126953125
2020-02-14,560.3447875976562
2020-02-17,561.3701782226562
2020-02-18,572.4041748046875
2020-02-19,565.3736572265625
2020-02-20,593.1053466796875
2020-02-24,590.7129516601562
2020-02-25,577.7259521484375
2020-02-26,562.4442749023438
2020-02-27,559.075439453125
2020-02-28,536.0308837890625
2020-03-02,535.4938354492188
2020-03-03,530.6426391601562
2020-03-04,539.9530029296875
2020-03-05,535.934814453125
2020-03-06,524.17431640625
2020-03-09,507.170654296875
2020-03-11,508.4446716308594
2020-03-12,480.8565673828125
2020-03-13,454.5915222167969
2020-03-16,441.458984375
2020-03-17,428.865478515625
2020-03-18,403.18841552734375
2020-03-19,358.6946105957031
2020-03-20,416.6639404296875
2020-03-23,355.4114685058594
2020-03-24,376.0903015136719
2020-03-25,402.992431640625
2020-03-26,411.6657409667969
2020-03-27,423.0342102050781
2020-03-30,405.5404968261719
2020-03-31,421.8581848144531
2020-04-01,422.1031799316406
2020-04-03,417.9380187988281
2020-04-07,394.3190612792969
2020-04-08,396.13214111328125
2020-04-09,404.6584777832031
2020-04-13,391.77093505859375
2020-04-15,390.9378967285156
2020-04-16,383.78363037109375
2020-04-17,387.997802734375
2020-04-20,390.9869384765625
2020-04-21,389.7128601074219
2020-04-22,389.85986328125
2020-04-23,389.8108825683594
2020-04-24,386.4297180175781
2020-04-27,406.7655334472656
2020-04-28,405.5404968261719
2020-04-29,406.4715576171875
2020-04-30,410.93072509765625
2020-05-04,397.40618896484375
2020-05-05,392.5549621582031
2020-05-06,369.47503662109375
2020-05-07,338.3097839355469
2020-05-08,355.1174621582031
2020-05-11,358.15557861328125
2020-05-12,371.7291259765625
2020-05-13,369.4260559082031
2020-05-14,369.6220397949219
2020-05-15,361.38970947265625
2020-05-18,342.6709289550781
2020-05-19,352.226318359375
2020-05-20,351.9323425292969
2020-05-21,360.9977111816406
2020-05-22,348.6001892089844
2020-05-26,347.816162109375
2020-05-27,347.1301574707031
2020-05-28,371.5821228027344
2020-05-29,376.87432861328125
2020-06-01,395.0540771484375
2020-06-02,393.6330261230469
2020-06-03,389.7618713378906
2020-06-04,389.46783447265625
2020-06-05,386.7237548828125
2020-06-08,383.6366271972656
2020-06-09,362.124755859375
2020-06-10,365.89788818359375
2020-06-11,360.5566711425781
2020-06-12,361.1936950683594
2020-06-15,361.4386901855469
2020-06-16,354.0393981933594
2020-06-17,371.9251403808594
2020-06-18,370.2100830078125
2020-06-19,372.9051818847656
2020-06-22,376.28631591796875
2020-06-23,379.07940673828125
2020-06-24,387.0667724609375
2020-06-25,382.3135681152344
2020-06-26,383.78363037109375
2020-06-29,374.08123779296875
2020-06-30,372.70916748046875
2020-07-01,373.5912170410156
