Date,PGHH
2016-09-12,5591.67822265625
2016-09-14,5653.94287109375
2016-09-15,5622.89501953125
2016-09-16,5605.44091796875
2016-09-19,5635.43994140625
2016-09-20,5622.47509765625
2016-09-21,5707.017578125
2016-09-22,5776.037109375
2016-09-23,5789.419921875
2016-09-26,5778.80517578125
2016-09-27,5792.73486328125
2016-09-28,5748.76416015625
2016-09-29,5632.2509765625
2016-09-30,5710.45849609375
2016-10-03,5761.01611328125
2016-10-04,5793.90966796875
2016-10-05,5935.13623046875
2016-10-06,5814.55224609375
2016-10-07,5866.62060546875
2016-10-10,5896.36767578125
2016-10-13,5839.22265625
2016-10-14,5834.2724609375
2016-10-17,5866.78955078125
2016-10-18,5861.79443359375
2016-10-19,5868.00439453125
2016-10-20,5899.76611328125
2016-10-21,5890.28564453125
2016-10-24,5920.8701171875
2016-10-25,5909.3740234375
2016-10-26,5872.62060546875
2016-10-27,5843.04150390625
2016-10-28,5902.15771484375
2016-11-01,5915.54150390625
2016-11-02,6008.685546875
2016-11-03,5936.68896484375
2016-11-04,5875.474609375
2016-11-07,5800.162109375
2016-11-08,5787.2802734375
2016-11-09,5950.2822265625
2016-11-10,5856.42529296875
2016-11-11,5788.45654296875
2016-11-15,5645.97119140625
2016-11-16,5553.33056640625
2016-11-17,5454.43896484375
2016-11-18,5478.10302734375
2016-11-21,5491.73828125
2016-11-22,5531.9326171875
2016-11-23,5501.80712890625
2016-11-24,5514.5068359375
2016-11-25,5505.2265625
2016-11-28,5565.85009765625
2016-11-29,5569.984375
2016-11-30,5576.14306640625
2016-12-01,5565.55419921875
2016-12-02,5569.56201171875
2016-12-05,5684.8212890625
2016-12-06,5646.30224609375
2016-12-07,5792.31689453125
2016-12-08,5726.20703125
2016-12-09,5667.9033203125
2016-12-12,5689.71435546875
2016-12-13,5738.14599609375
2016-12-14,5732.91455078125
2016-12-15,5894.5810546875
2016-12-16,5768.607421875
2016-12-19,5813.41162109375
2016-12-20,5737.5986328125
2016-12-21,5709.07861328125
2016-12-22,5616.8125
2016-12-23,5587.23974609375
2016-12-26,5720.005859375
2016-12-27,5844.9677734375
2016-12-28,5854.3759765625
2016-12-29,6039.07470703125
2016-12-30,5977.26806640625
2017-01-02,5901.880859375
2017-01-03,5852.09716796875
2017-01-04,5828.72509765625
2017-01-05,5857.53955078125
2017-01-06,5789.447265625
2017-01-09,5745.6982421875
2017-01-10,5735.9521484375
2017-01-11,5721.736328125
2017-01-12,5727.9794921875
2017-01-13,5682.5
2017-01-16,5726.2919921875
2017-01-17,5694.69140625
2017-01-18,5711.5263671875
2017-01-19,5884.66650390625
2017-01-20,5905.8876953125
2017-01-23,5749.1142578125
2017-01-24,5855.134765625
2017-01-25,5905.5068359375
2017-01-27,5888.251953125
2017-01-30,5867.0322265625
2017-01-31,5867.623046875
2017-02-01,5902.806640625
2017-02-02,5890.7412109375
2017-02-03,5906.68896484375
2017-02-06,5910.865234375
2017-02-07,5860.0703125
2017-02-08,5910.27392578125
2017-02-09,5918.71240234375
2017-02-10,5874.20361328125
2017-02-13,5910.73779296875
2017-02-14,5922.171875
2017-02-15,5920.5693359375
2017-02-16,5918.037109375
