date,NIFTY FMCG
1999-04-17,2962.94
1999-04-19,3060.54
1999-04-20,3042.33
1999-04-21,3061.05
1999-04-22,3031.72
1999-04-23,3042.38
1999-04-26,2911.46
1999-04-28,2933.53
1999-04-29,2967.54
1999-04-30,2983.07
1999-05-03,2933.8
1999-05-04,3016.01
1999-05-05,3022.78
1999-05-06,3082.39
1999-05-07,3064.98
1999-05-10,3133.22
1999-05-11,3169.71
1999-05-12,3209.38
1999-05-13,3292.88
1999-05-14,3290.09
1999-05-17,3223.68
1999-05-18,3200.02
1999-05-19,3204.6
1999-05-20,3207.14
1999-05-21,3243.69
1999-05-24,3280.07
1999-05-25,3304.32
1999-05-26,3286.22
1999-05-27,3188.68
1999-05-28,3162.41
1999-05-31,3264.31
1999-06-01,3266.94
1999-06-02,3227.3
1999-06-03,3230.01
1999-06-04,3261.37
1999-06-07,3295.24
1999-06-08,3258.12
1999-06-09,3240.14
1999-06-10,3240.82
1999-06-11,3192.0
1999-06-14,3161.75
1999-06-15,3144.2
1999-06-16,3227.96
1999-06-17,3319.92
1999-06-18,3324.76
1999-06-21,3362.68
1999-06-22,3385.89
1999-06-23,3300.29
1999-06-24,3252.92
1999-06-25,3249.45
1999-06-28,3315.88
1999-06-29,3340.16
1999-06-30,3324.99
1999-07-01,3332.37
1999-07-02,3350.34
1999-07-05,3396.08
1999-07-06,3395.32
1999-07-07,3384.89
1999-07-08,3366.8
1999-07-09,3334.42
1999-07-12,3410.36
1999-07-13,3412.91
1999-07-14,3451.33
1999-07-15,3381.83
1999-07-16,3372.44
1999-07-19,3436.95
1999-07-20,3456.5
1999-07-21,3507.99
1999-07-22,3597.02
1999-07-23,3618.14
1999-07-26,3593.13
1999-07-27,3590.98
1999-07-28,3593.42
1999-07-29,3586.82
1999-07-30,3586.3
1999-08-02,3556.88
1999-08-03,3535.69
1999-08-04,3590.69
1999-08-05,3597.38
1999-08-06,3571.36
1999-08-09,3582.37
1999-08-10,3521.07
1999-08-11,3535.15
1999-08-12,3503.27
1999-08-13,3435.59
1999-08-16,3429.12
1999-08-17,3482.44
1999-08-18,3581.07
1999-08-19,3537.7
1999-08-20,3521.6
1999-08-23,3521.93
1999-08-24,3546.75
1999-08-25,3572.49
1999-08-26,3679.39
1999-08-27,3679.28
1999-08-30,3675.32
1999-08-31,3648.57
1999-09-01,3657.97
1999-09-02,3597.51
1999-09-03,3582.62
1999-09-06,3596.16
1999-09-07,3571.3
1999-09-08,3578.89
1999-09-09,3578.11
1999-09-10,3571.6
1999-09-14,3493.77
1999-09-15,3505.98
1999-09-16,3454.91
1999-09-17,3425.14
1999-09-20,3406.71
1999-09-21,3362.11
1999-09-22,3449.05
1999-09-23,3451.14
1999-09-24,3504.67
1999-09-27,3474.68
1999-09-28,3426.2
1999-09-29,3465.72
1999-09-30,3439.87
1999-10-01,3398.98
1999-10-04,3342.47
1999-10-05,3328.1
1999-10-06,3364.0
1999-10-07,3518.88
1999-10-08,3422.07
1999-10-11,3377.94
1999-10-12,3353.92
1999-10-13,3387.5
1999-10-14,3419.53
1999-10-15,3310.74
1999-10-18,3245.15
1999-10-20,3215.85
1999-10-21,3192.5
1999-10-22,3138.72
1999-10-23,3170.7
1999-10-25,3139.0
1999-10-26,3102.08
1999-10-27,3239.81
1999-10-28,3128.63
1999-10-29,3042.6
1999-11-01,2951.38
1999-11-02,3025.86
1999-11-03,3023.27
1999-11-04,3034.52
1999-11-05,3115.75
1999-11-07,3104.89
1999-11-09,3089.62
1999-11-10,3102.01
1999-11-11,3131.19
1999-11-12,3110.85
1999-11-15,3055.55
1999-11-16,3043.24
1999-11-17,3056.05
1999-11-18,3083.25
1999-11-19,3057.09
1999-11-22,3022.27
1999-11-24,3073.31
1999-11-25,3069.0
1999-11-26,3010.4
1999-11-29,2980.23
1999-11-30,2960.92
1999-12-01,3010.13
1999-12-02,3062.07
1999-12-03,3113.41
1999-12-06,3171.06
1999-12-07,3161.42
1999-12-08,3149.21
1999-12-09,3180.7
1999-12-10,3149.15
1999-12-13,3123.14
1999-12-14,2996.33
1999-12-15,3034.42
1999-12-16,3014.85
1999-12-17,2997.43
1999-12-20,2978.06
1999-12-21,2951.58
1999-12-22,3043.07
1999-12-23,3037.49
1999-12-24,2963.82
1999-12-27,2900.02
1999-12-28,2901.71
1999-12-29,2900.43
1999-12-30,2837.14
2000-01-03,3042.55
2000-01-04,3024.52
2000-01-05,2970.1
2000-01-06,3126.57
2000-01-07,3268.81
2000-01-10,3363.99
2000-01-11,3314.28
2000-01-12,3520.11
2000-01-13,3576.05
2000-01-14,3523.19
2000-01-17,3389.05
2000-01-18,3372.25
2000-01-19,3342.19
2000-01-20,3302.19
2000-01-21,3358.57
2000-01-24,3334.0
2000-01-25,3250.35
2000-01-27,3280.31
2000-01-28,3189.83
2000-01-31,3087.37
2000-02-01,3013.22
2000-02-02,3096.95
2000-02-03,3086.15
2000-02-04,3006.57
2000-02-07,3005.16
2000-02-08,2999.05
2000-02-09,3149.95
2000-02-10,3142.71
2000-02-11,3235.86
2000-02-14,3125.93
2000-02-15,3170.5
2000-02-16,3186.57
2000-02-17,3241.91
2000-02-18,3320.57
2000-02-21,3457.66
2000-02-22,3563.77
2000-02-23,3475.88
2000-02-24,3607.53
2000-02-25,3572.22
2000-02-28,3510.76
2000-02-29,3303.59
2000-03-01,3406.78
2000-03-02,3220.32
2000-03-03,3011.22
2000-03-06,2925.69
2000-03-07,2953.92
2000-03-08,2986.28
2000-03-09,2933.1
2000-03-10,2973.31
2000-03-13,3051.06
2000-03-14,3241.52
2000-03-15,3370.84
2000-03-16,3329.42
2000-03-21,3198.89
2000-03-22,3133.43
2000-03-23,3070.81
2000-03-24,3061.87
2000-03-27,2971.45
2000-03-28,2970.6
2000-03-29,2960.31
2000-03-30,2982.52
2000-03-31,2934.8
2000-04-03,3116.48
2000-04-04,2905.45
2000-04-05,2962.45
2000-04-06,2954.22
2000-04-07,3155.47
2000-04-10,3140.06
2000-04-11,3116.38
2000-04-12,3050.45
2000-04-13,2981.37
2000-04-17,2846.95
2000-04-18,2799.5
2000-04-19,2816.12
2000-04-20,2814.66
2000-04-24,2775.28
2000-04-25,2683.79
2000-04-26,2773.92
2000-04-27,2758.03
2000-04-28,2692.55
2000-05-02,2500.88
2000-05-03,2508.05
2000-05-04,2702.35
2000-05-05,2796.33
2000-05-08,2669.13
2000-05-09,2738.89
2000-05-10,2707.62
2000-05-11,2620.91
2000-05-12,2595.46
2000-05-15,2653.35
2000-05-16,2703.79
2000-05-17,2699.48
2000-05-18,2699.83
2000-05-19,2630.2
2000-05-22,2605.79
2000-05-23,2602.83
2000-05-24,2593.75
2000-05-25,2656.94
2000-05-26,2889.47
2000-05-29,2949.25
2000-05-30,3015.17
2000-05-31,3007.07
2000-06-01,2914.85
2000-06-02,2946.91
2000-06-05,2946.4
2000-06-06,2961.83
2000-06-07,2958.77
2000-06-08,3004.19
2000-06-09,2991.73
2000-06-12,2932.41
2000-06-13,2905.5
2000-06-14,2945.79
2000-06-15,2917.49
2000-06-16,2926.2
2000-06-19,2970.14
2000-06-20,2966.37
2000-06-21,2992.55
2000-06-22,3051.55
2000-06-23,3159.48
2000-06-26,3100.15
2000-06-27,3141.38
2000-06-28,3228.79
2000-06-29,3262.04
2000-06-30,3227.16
2000-07-03,3161.66
2000-07-04,3195.16
2000-07-05,3253.86
2000-07-06,3215.86
2000-07-07,3219.22
2000-07-10,3230.49
2000-07-11,3241.54
2000-07-12,3277.96
2000-07-13,3345.47
2000-07-14,3386.64
2000-07-17,3232.05
2000-07-18,3260.64
2000-07-19,3168.57
2000-07-20,3084.6
2000-07-21,3053.72
2000-07-24,2900.92
2000-07-25,2938.43
2000-07-26,2934.41
2000-07-27,2936.94
2000-07-28,2928.64
2000-07-31,2961.34
2000-08-01,2963.23
2000-08-02,2954.35
2000-08-03,2916.63
2000-08-04,3038.03
2000-08-07,3041.29
2000-08-08,3005.66
2000-08-09,2945.08
2000-08-10,2935.52
2000-08-11,2863.16
2000-08-14,2921.73
2000-08-16,2980.32
2000-08-17,2964.38
2000-08-18,2974.96
2000-08-21,2967.52
2000-08-22,2929.1
2000-08-23,2971.71
2000-08-24,2943.97
2000-08-25,2916.77
2000-08-28,2920.96
