date,NIFTY POWER
2009-08-19,2634.29
2009-08-20,2658.87
2009-08-21,2676.1
2009-08-24,2716.43
2009-08-25,2748.77
2009-08-26,2758.39
2009-08-27,2740.27
2009-08-28,2751.75
2009-08-31,2742.75
2009-09-01,2709.08
2009-09-02,2703.74
2009-09-03,2681.11
2009-09-04,2711.05
2009-09-07,2751.14
2009-09-08,2759.98
2009-09-09,2738.58
2009-09-10,2741.23
2009-09-11,2729.72
2009-09-14,2723.61
2009-09-15,2757.48
2009-09-16,2775.27
2009-09-17,2768.76
2009-09-18,2807.32
2009-09-22,2822.47
2009-09-23,2789.53
2009-09-24,2811.63
2009-09-25,2804.51
2009-09-29,2814.91
2009-09-30,2822.01
2009-10-01,2792.11
2009-10-05,2762.93
2009-10-06,2784.51
2009-10-07,2780.94
2009-10-08,2818.77
2009-10-09,2798.11
2009-10-12,2845.34
2009-10-14,2882.92
2009-10-15,2890.62
2009-10-16,2914.15
2009-10-17,2918.33
2009-10-20,2913.23
2009-10-21,2904.67
2009-10-22,2853.38
2009-10-23,2869.45
2009-10-26,2846.2
2009-10-27,2789.99
2009-10-28,2768.08
2009-10-29,2705.86
2009-10-30,2669.97
2009-11-03,2586.32
2009-11-04,2650.85
2009-11-05,2720.38
2009-11-06,2730.4
2009-11-09,2765.53
2009-11-10,2745.27
2009-11-11,2834.27
2009-11-12,2795.04
2009-11-13,2790.67
2009-11-16,2822.7
2009-11-17,2817.44
2009-11-18,2819.4
2009-11-19,2784.74
2009-11-20,2804.8
2009-11-23,2811.75
2009-11-24,2790.02
2009-11-25,2785.25
2009-11-26,2739.02
2009-11-27,2716.62
2009-11-30,2735.83
2009-12-01,2774.55
2009-12-02,2779.76
2009-12-03,2795.47
2009-12-04,2793.78
2009-12-07,2761.97
2009-12-08,2800.51
2009-12-09,2785.26
